Rank,Name,NPC,Birth,Time,Date,City,Country,#,Sport Gender,Class
11,"Du Plessis, Paul, Mogale, Hassiem",RSA,,4:59.86,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1987,S6,2,PAUL Kevin,1991,4
1,MOGALE Sibusiso,M,1987,S6,,,,,,
2,DU PLESSIS Cristiaan,M,1984,S8,,,,,,
3,HASSIEM Achmat,M,1982,S10,,,,,,
4,PAUL Kevin,M,1991,S10,,,,,,
12,Iran,IRI,,5:02.70,17 December 2010,Guangzhou,China,,,
,M,1,S6,M,1993,S10,2,NIKOO HOSSEINABADI Ali,1967,4
1,IZADYAR Shahin,M,1993,S10,,,,,,
2,GHAMKHAH Hassan,M,1984,SB9,,,,,,
3,AZARSHAB KARSEIDANI Reza,M,1994,S10,,,,,,
4,NIKOO HOSSEINABADI Ali,M,1967,S6,,,,,,
13,Vietnam,VIE,,5:12.66,17 December 2010,Guangzhou,China,,,
,M,1,S9,M,1984,S8,2,NGUYEN Hoang Nha,1984,4
1,DANG van Cong,M,1984,S8,,,,,,
2,NGUYEN Quang Vuong,M,1983,S8,,,,,,
3,VO Huynh Anh Khoa,M,1991,S9,,,,,,
4,NGUYEN Hoang Nha,M,1984,S9,,,,,,
14,Thailand,THA,,5:14.70,17 December 2010,Guangzhou,China,,,
,M,1,S10,M,1976,S7,2,PUNSIRI Suphat,1984,4
1,SITTICHAIPHONNITI Kaweewat,M,1976,S7,,,,,,
2,SUNCHORN Boonton,M,1977,S9,,,,,,
3,HADEE Priwan,M,1984,S10,,,,,,
4,PUNSIRI Suphat,M,1984,S10,,,,,,
15,"van den End, Boer, van der Zanden, Schoenmaker",NED,,5:15.73,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S9,M,1983,S4,2,BOER Simon,1995,4
1,SCHOENMAKER Michael,M,1983,S4,,,,,,
2,VAN DEN END Thijs,M,1993,S9,,,,,,
3,VAN DER ZANDEN Mike,M,1987,S10,,,,,,
4,BOER Simon,M,1995,S9,,,,,,
16,"Lopes, Grachat, Goncalves, Caetano",POR,,5:20.44,19 August 2010,Eindhoven,Netherlands,,,
,M,1,S10,M,1978,S4,2,CAETANO Gino,1994,4
1,LOPES Nelson,M,1978,S4,,,,,,
2,GRACHAT David,M,1987,S9,,,,,,
3,GONCALVES Emanuel,M,1989,S10,,,,,,
4,CAETANO Gino,M,1994,S10,,,,,,
17,"Poggi, Pulleiro, Rosatti, Marro",ARG,,5:38.96,18 June 2010,Berlin,Germany,,,
,M,1,S8,M,1983,S7,2,POGGI Lucas Nicolas,1992,4
1,MARRO Guillermo,M,1983,S7,,,,,,
2,PULLEIRO Marco,M,1990,SB8,,,,,,
3,ROSATTI Juan Pablo,M,1983,S9,,,,,,
4,POGGI Lucas Nicolas,M,1992,S8,,,,,,
18,Iraq,IRQ,,5:40.71,17 December 2010,Guangzhou,China,,,
,M,1,S6,M,1970,S9,2,JOUDAH Jawad,1989,4
1,KHAMEES Hamzah,M,1970,S9,,,,,,
2,ABEDALRAZAK Nazar,M,1975,S10,,,,,,
3,SABEEH Hatem Nussrat Sabeeh,M,1990,S9,,,,,,
4,JOUDAH Jawad,M,1989,S6,,,,,,
