athlete_id,exceptions,family_name,gender,given_name,name,npc,s,sb,sdms_id,sm,status
2a557e9e070dd7d4,"1, 3, 5",Arkansoul,M,Noah,Noah Arkansoul,AUS,S9,SB9,47027,SM9,R-2021
d0ce6fda3500e535,"A, 3, 5, 12, +",Arnison,F,McKinley,McKinley Arnison,AUS,S10,SB9,44425,SM10,R-2029
bbc14683e88777d8,-,Atkinson,F,Montana,Montana Atkinson,AUS,S14,SB14,59709,SM14,R-2028
b1cebae0fdd1dc70,"12, +",Aungles,M,Jesse,Jesse Aungles,AUS,S8,SB7,15325,SM8,C
b4c2d6d7930e5741,"3, 5",Beecroft,F,Emily,Emily Beecroft,AUS,S9,SB9,21817,SM9,C
4e52c98eee628974,8,Belando Nicholson,F,Victoria,Victoria Belando Nicholson,AUS,S9,SB9,58852,SM9,R-2028
241507f59d59a84a,-,Bellion,M,Lockie,Lockie Bellion,AUS,S14,SB14,68592,SM14,N
f8b97140b78a8a7c,"A, 1, 3, 4, 12, +",Berryman,F,Jordan,Jordan Berryman,AUS,S7,SB9,60264,SM8,R-2028
fab678d23afbc843,0,Betar,M,Ricky,Ricky Betar,AUS,S14,SB14,40730,SM14,C
226c66b953e0d2d1,9,Bishop,M,Lewis,Lewis Bishop,AUS,S9,SB8,50215,SM9,C
c39b129ad1084bfc,-,Blockey,M,Ethan,Ethan Blockey,AUS,S14,SB14,68153,SM14,R-2028
574b9a48c3e4fb25,-,Braithwaite,F,Flora,Flora Braithwaite,AUS,S10,SB9,68514,SM10,N
ffb6f13334b63b5f,-,Bright-Taylor,F,Lily,Lily Bright-Taylor,AUS,NE,NE,68222,NE,C
4990f070f6398754,"3, 5, 12, +",Brimelow,F,Grace,Grace Brimelow,AUS,S9,SB9,56161,SM9,R-2029
af43dbc6e0b657a1,-,Bruzzese,F,Stephanie,Stephanie Bruzzese,AUS,S14,SB14,59955,SM14,R-2027
987c20a1115e3bbb,-,Budd,M,Declan,Declan Budd,AUS,S14,SB14,59710,SM14,C
846681b8df0cce81,"12, +",Campbell,F,Millicent,Millicent Campbell,AUS,S9,SB9,59954,SM9,R-2029
efcb1e8fd0956094,-,Clare,M,Eddie,Eddie Clare,AUS,S6,SB6,68636,SM6,N
e8dc66f36c5d02eb,"3, 5, 12, +",Crothers,M,Rowan,Rowan Crothers,AUS,S10,SB9,15328,SM10,C
90b153e79e20275f,-,Davis,F,Airlie,Airlie Davis,AUS,S14,SB14,59750,SM14,C
e778765724edc5b2,-,Dyer,M,Jarred,Jarred Dyer,AUS,S14,SB14,43685,SM14,C
e0621fb50c133755,-,Farlow,M,Lachlan,Lachlan Farlow,AUS,S8,SB8,68518,SM8,N
3d6c55cafa3a1e5e,0,Fawer,F,Michelle,Michelle Fawer,AUS,S10,SB9,68198,SM10,R
e9665b59be3a0ea5,-,Finlay,F,Phoebe,Phoebe Finlay,AUS,S12,SB12,68560,SM12,N
a137ab96b07e08b6,-,Fosberg,M,Cyrus,Cyrus Fosberg,AUS,S10,SB9,68666,SM10,N
b4eeab26b133bdde,"1, 3, 5",Fullgrabe,F,Jasmin,Jasmin Fullgrabe,AUS,S9,SB9,56127,SM9,C
dce95ddb078c5c6b,"3, 5, 12, +",Gallagher,M,Thomas,Thomas Gallagher,AUS,S10,SB9,50681,SM10,C
0e511e59c01f1533,-,Gibson,M,Knox,Knox Gibson,AUS,S9,SB9,68517,SM9,N
3058eefa421439f3,"3, 4, 12, +",Gillespie,F,Alyssa,Alyssa Gillespie,AUS,S9,SB8,68148,SM9,R-2029
e6055951886102f8,-,Giraud,F,Emmeline,Emmeline Giraud,AUS,S10,SB9,68512,SM10,N
f3a5a2768b1e0f22,-,Gould,F,Lilly-Anne,Lilly-Anne Gould,AUS,S14,SB14,68205,SM14,R-2028
f3284b9f85ae8102,-,Gould,M,Samuel,Samuel Gould,AUS,S14,SB14,59749,SM14,C
5407108bb2375741,"A, 3, 5, 12, +",Greenwood,F,Jasmine,Jasmine Greenwood,AUS,S10,SB9,33503,SM10,R-2029
e7f598c5b8c0ac21,-,Griffin,F,Molly,Molly Griffin,AUS,S7,SB6,68558,SM7,N
ca0bf280cd576d8d,"H, 9",Hall,M,Brenden,Brenden Hall,AUS,S9,SB8,5577,SM9,C
ae3edf2f087ad2ca,"A, 3, 5, 12, +",Halliday,F,Ruby,Ruby Halliday,AUS,S8,SB8,52443,SM8,R-2023
8f2e3b2e7fe58174,-,Hance,M,Benjamin,Benjamin Hance,AUS,S14,SB14,50121,SM14,C
4a03b6eb14670936,-,Hancock,F,Sahrah,Sahrah Hancock,AUS,S6,SB6,68561,SM6,N
0a0eeac45c3fe216,-,Hayes,F,Caitlyn,Caitlyn Hayes,AUS,S9,SB9,68511,SM9,N
492e7fe94642a650,0,Hayes,F,Kirralee,Kirralee Hayes,AUS,S13,SB13,41172,SM13,R-2030
b99043a77644bc26,"A, 12, +",Hinchey,M,Eden,Eden Hinchey,AUS,S9,SB8,68197,SM9,R-2028
da28a0859f7fa5a7,-,Hinds,F,Maddison,Maddison Hinds,AUS,S14,SB14,57800,SM14,C
1b1ce765467796ba,"3, 5, 12, +",Hodge,M,Timothy,Timothy Hodge,AUS,S9,SB8,21814,SM9,C
1212a661d79a1b65,T,Hogan,F,Mia,Mia Hogan,AUS,S13,SB13,62859,SM13,R-2029
4341f844ec063b8b,-,Holder,M,Luke,Luke Holder,AUS,NE,NE,68151,NE,C
fece26eb9cd4627a,0,Ireland,M,Jack,Jack Ireland,AUS,S14,SB14,32676,SM14,C
7fc5ba5d7e23aa54,-,Jessen,F,Krystal,Krystal Jessen,AUS,S14,SB14,68152,SM14,R-2028
af65373403f743b6,T,Jones,F,Jenna,Jenna Jones,AUS,S12,SB12,26219,SM12,R-2028
6f8cf0c9f8ab1338,"1, 3, 5",Keenan,M,Hamish,Hamish Keenan,AUS,S9,SB9,62885,SM9,R-2027
e22553191ad1dc96,"A, Y, E, 3, 12, +",Kelly,M,Ahmed,Ahmed Kelly,AUS,S3,SB3,10815,SM3,C
b5e87e8523f0cb0c,-,Kerr,M,Eli,Eli Kerr,AUS,S9,SB9,68568,SM9,N
8042a04fa5fee60d,"A, 1, 3, 4, 5, 12, +",Leary,F,Alexa,Alexa Leary,AUS,S10,SB7,54889,SM9,R
c49a48e7cedd9145,0,Leonhardt,F,Paige,Paige Leonhardt,AUS,S14,SB14,24373,SM14,C
9aa0d7490e838640,0,Lucy,F,Jade,Jade Lucy,AUS,S14,SB14,29010,SM14,C
47100c175ad4b99e,-,Martin,M,Oliver,Oliver Martin,AUS,S8,SB8,68559,SM8,N
6cda5a99c9097b1e,"3, 5, 12, +",Martin,M,William,William Martin,AUS,S10,SB9,41218,SM10,R-2029
d344395fe9f0552f,"12, +",Matthews,M,Beau,Beau Matthews,AUS,S10,SB9,60198,SM10,R-2028
95a6d745f6121f43,-,McAuliffe,F,Chloe,Chloe McAuliffe,AUS,S10,SB9,68557,SM10,N
5259c50eb979ba17,0,McTernan,F,Madeleine,Madeleine McTernan,AUS,S14,SB14,36596,SM14,C
75d4ef283501d559,0,Michel,M,Jake,Jake Michel,AUS,S14,SB14,36255,SM14,C
1deb5d612854db37,-,Moloney,F,Annabelle,Annabelle Moloney,AUS,S10,SB9,68510,SM10,N
197107dd3a59ee4b,"A, 3, 5, 12, +",Moore,M,Riley,Riley Moore,AUS,S10,SB9,54898,SM10,R-2027
9cd977b2106f7a9c,T,Murphy,M,Kieran,Kieran Murphy,AUS,S12,SB12,7000,SM12,R-2030
bf6950625e6ab17f,-,Nicholls,M,Kaleb,Kaleb Nicholls,AUS,S14,SB14,68567,SM14,N
ecdbbc086d14763e,-,O'Brien,M,Patrick,Patrick O'Brien,AUS,S14,SB14,68593,SM14,N
4fc972821aff1a3f,"A, 12",Osborn,F,Chloe,Chloe Osborn,AUS,S7,SB6,56669,SM7,C
18fa48a2f74f3838,"*, A, E, 7, 12",Overton,F,Esther,Esther Overton,AUS,S1,SB1,3444,SM1,R
149e272244385c77,"A, Y, 7, 12, +",Patterson,M,Grant,Grant Patterson,AUS,S3,SB2,8331,SM3,C
054c2245d5c4a84c,"A, 3, 5, 12, +",Patterson,F,Lakeisha,Lakeisha Patterson,AUS,S9,SB8,21818,SM9,C
1a4ccc9cfe628195,9,Pearse,M,Col,Col Pearse,AUS,S10,SB9,41126,SM10,C
a7580e164ee932c2,9,Pratt,F,Emilee,Emilee Pratt,AUS,S9,SB8,68185,SM9,R-2028
572dbf9782931c74,-,Pratt,F,Samantha,Samantha Pratt,AUS,S10,SB9,68186,SM10,N
4d3a3d460973fbdf,-,Pritchard,F,Isabelle,Isabelle Pritchard,AUS,S7,SB6,68684,SM7,N
8c741f68bb4f4e7b,9,Rigby,M,Daniel,Daniel Rigby,AUS,S9,SB9,62963,SM9,C
36b56372bb439edf,-,Rush,M,George,George Rush,AUS,S9,SB8,68590,SM9,N
ee585e3ae849d38b,-,Sachdeva,M,Siddhant,Siddhant Sachdeva,AUS,S7,SB7,68632,SM7,N
01a39a2ef5042475,"12, +",Saffy,M,Alex,Alex Saffy,AUS,S10,SB9,51270,SM10,R-2027
7efc343aaadcc455,"1, 3, 5",Sellick,F,Gemma,Gemma Sellick,AUS,S9,SB8,59921,SM9,R-2028
b017b23e72134f87,"A, 3, 5, 12, +",Simpson,M,Callum,Callum Simpson,AUS,S8,SB8,59116,SM8,R-2027
24316bd48cee2873,-,Sisman,M,Darren,Darren Sisman,AUS,S14,SB14,57722,SM14,C
b47f85df0d76f366,-,Smith,M,Sebastian,Sebastian Smith,AUS,S8,SB8,68564,SM8,N
9703a81e8617d15e,-,Spencer,M,Trae,Trae Spencer,AUS,S9,SB9,68566,SM9,N
a9d8dc6975347d07,"12, +",Springett-Kelly,F,Amelie,Amelie Springett-Kelly,AUS,S6,SB6,59065,SM6,R-2026
7ff9e09f0337c548,-,Stegeman,M,Thomas,Thomas Stegeman,AUS,NE,NE,68188,NE,C
5445c554abbb6070,"3, 5",Stephens,F,Keira,Keira Stephens,AUS,S10,SB9,33520,SM10,C
4c279a01a5246b00,-,Stewart,M,Bailey,Bailey Stewart,AUS,S14,SB14,43686,SM14,C
c8d262b669d1af58,-,Stobie,F,Laura,Laura Stobie,AUS,S7,SB6,68633,SM7,N
6de887622aab11fc,0,Storm,F,Ruby,Ruby Storm,AUS,S14,SB14,40729,SM14,C
4a28aa268cf00519,-,Su,M,Riley,Riley Su,AUS,S14,SB14,68204,SM14,R-2028
20f3cf7489d54e76,-,Thompson,F,Kael,Kael Thompson,AUS,S14,SB14,57721,SM14,C
13dc27df2fdff031,"12, +",Togher,M,Liam,Liam Togher,AUS,S9,SB8,66930,SM9,R-2028
84aaf31062e01ed2,"3, 5, 12, +",Tuckfield,M,Alexander,Alexander Tuckfield,AUS,S10,SB9,44422,SM10,C
79e5290c42a4a099,9,Vig,M,Harrison,Harrison Vig,AUS,S9,SB8,41128,SM9,C
876c77e49ed5ed94,-,Wallace,F,Sarah,Sarah Wallace,AUS,S7,SB7,68569,SM7,N
a73b94dfc4d40f2a,"A, 2, 4, 12, +",Warn,F,Holly,Holly Warn,AUS,S8,SB7,58826,SM8,R-2026
c17928c5e9850fae,-,Warwick,F,Keira,Keira Warwick,AUS,S6,SB6,68665,SM6,N
1f2d3e66d3c8ead9,"A, Y, E, 3, 5, 12",Watson,F,Rachael,Rachael Watson,AUS,CNC,CNC,30721,CNC,R
10211ec4bbfacc4e,"A, 12, +",Willett,F,Emily,Emily Willett,AUS,CNC,,59931,,
245ed3b7624f896e,"3, 5, 12, +",Wilson,F,Poppy,Poppy Wilson,AUS,S10,SB9,44426,SM10,R-2029
47bf6e2b00c3bfbb,-,Younes,F,Yasmine-Bella,Yasmine-Bella Younes,AUS,S14,SB14,59748,SM14,R-2025
f8dae9613433e6fc,-,Youssef,F,Meray,Meray Youssef,AUS,S7,SB7,68563,SM7,N
ef90477012a8c709,"T, B",Angerer,F,Angelika,Angelika Angerer,AUT,S11,SB11,69084,SM11,C
9272a4110308f5ec,"T, B",Angerer,F,Daniela,Daniela Angerer,AUT,S11,SB11,69085,SM11,C
b5af75600072bceb,-,Baumegger,F,Sarah-Maria,Sarah-Maria Baumegger,AUT,S14,SB14,65396,SM14,C
63df0a34c3ba59f9,"A, 3, 5, 12",Ernhofer,M,Andreas,Andreas Ernhofer,AUT,S4,SB3,36274,SM4,C
b7043e214c586c2c,-,Falk,F,Janina,Janina Falk,AUT,S14,SB14,30381,SM14,C
9369ec3620dad2bf,"1, 2, 4",Onea,M,Andreas,Andreas Onea,AUT,S8,SB8,5338,SM8,C
d9769aa13318e7f4,"A, 3, 5, 12",Premstaller,F,Carina,Carina Premstaller,AUT,S3,SB2,69570,SM3,R-2029
e11856271234875b,-,Schumacher,M,Jakob,Jakob Schumacher,AUT,S14,SB14,55869,SM14,C
5d61915f1057e5aa,"H, A, 12",Weber-Treiber,F,Sabine,Sabine Weber-Treiber,AUT,S7,SB6,14637,SM7,C
6a80891d8ed8d9fb,8,Mammadov,M,Murad,Murad Mammadov,AZE,S10,SB9,63129,SM10,R-2028
c109825997170989,-,Mammadov,M,Salim,Salim Mammadov,AZE,NE,NE,68691,NE,C
2db12ecff87eb152,"A, 12",Nazarov,M,Abuzar,Abuzar Nazarov,AZE,S6,SB5,63127,SM6,R-2029
6d7231a95b3d7195,0,Salei,M,Raman,Raman Salei,AZE,S12,SB12,11300,SM12,R-2029
817b361d65b448c7,"A, E, 3, 12",Suleymanova,F,Konul,Konul Suleymanova,AZE,S4,SB3,36081,SM4,R-2027
c838f6c803b46fee,8,Valiyev,M,Ali,Ali Valiyev,AZE,S10,SB9,52450,SM10,R-2027
aa81a8ccedab031f,-,Akter,F,Sumaiya,Sumaiya Akter,BAN,S8,SB8,68129,SM8,N
2dec78668b5bf946,-,Alam,M,Md Nabi,Md Nabi Alam,BAN,S10,SB9,70819,SM10,N
d78e9fbf11cad0bf,-,Karmokar,M,Pollob,Pollob Karmokar,BAN,S7,SB7,61223,SM7,N
aafaa548216f4e74,-,Shahidulla,M,Md,Md Shahidulla,BAN,S6,SB6,68121,SM6,N
31e4326f0c609904,-,Sohel,M,Md,Md Sohel,BAN,S7,SB7,61245,SM7,N
ef598c8091cec4f0,9,Boyce-Vaughan,M,Antwahn,Antwahn Boyce-Vaughan,BAR,S9,SB8,49312,SM9,C
2f7096774c58df2b,"A, 12",Aliakhnovich,M,Anatoli,Anatoli Aliakhnovich,BLR,S7,SB6,62171,SM7,R-2026
f8ad5758b6367e58,-,Babrova,F,Sofiya,Sofiya Babrova,BLR,S7,SB7,59820,SM7,N
208f8f645fe2c80b,-,Hulevich,F,Aryna,Aryna Hulevich,BLR,S6,SB6,50353,SM6,N
db34e45c47d9c6b5,-,Izotau,M,Uladzimir,Uladzimir Izotau,BLR,S12,SB12,6967,SM12,R-2029
fa40d3e8e72ec05a,-,Kananovich,M,Tsimur,Tsimur Kananovich,BLR,S10,SB9,66451,SM10,N
cccfdea25242fd53,-,Kavalionak,M,Yauheni,Yauheni Kavalionak,BLR,S12,SB12,59569,SM12,R-2028
f72bc05f2ad59245,-,Kazlova,F,Aliaksandra,Aliaksandra Kazlova,BLR,NE,NE,59443,NE,C
c90852c5f37b60fa,"A, Y, E, 7",Prazdnova,F,Sofiya,Sofiya Prazdnova,BLR,S1,N/A,66608,N/A,R
cf8aa9e6d3277c15,-,Rasolka,F,Nastassia,Nastassia Rasolka,BLR,S13,SB13,44655,SM13,R-2026
04d39e541ed5260e,0,Salei,M,Dzmitry,Dzmitry Salei,BLR,S12,SB12,7020,SM12,R-2026
d2ba587418ab22a3,"12, +",Shchalkanau,M,Yahor,Yahor Shchalkanau,BLR,S9,SB9,26226,SM9,C
3fb5d7185f7533d0,"12, +",Sheshka,F,Darya,Darya Sheshka,BLR,S10,SB9,62172,SM10,R-2027
8631903ed2a83968,0,Sotnikau,M,Uladzimir,Uladzimir Sotnikau,BLR,S13,SB13,36584,SM13,R-2026
bddbb1b62621ff6b,"1, 3, 5",Tsikhanionak,M,Dzmitry,Dzmitry Tsikhanionak,BLR,S9,SB9,52779,SM9,R-2028
a7d4769397b9a1c5,0,Vashkevich,M,Maksim,Maksim Vashkevich,BLR,S12,SB12,22687,SM12,R-2029
99f16c15ce8aafea,"3, 5",Yeshchyk,F,Krystsina,Krystsina Yeshchyk,BLR,S10,SB9,50199,SM10,R-2028
528a4011af695b2a,-,Zudzilava,F,Anastasiya,Anastasiya Zudzilava,BLR,S13,SB13,26348,SM13,R-2028
fadc069ef32c6a4e,"A, 1, 2, 4, 12, +",Berteloot,M,Jan,Jan Berteloot,BEL,S8,SB8,35787,SM8,R-2031
87c803201672883c,"12, +",De Jaeger,M,Anton,Anton De Jaeger,BEL,S9,SB8,59972,SM9,C
9649213ef3b307a4,"3, 5, 9",de Visser,M,Sam,Sam de Visser,BEL,S9,SB8,32441,SM9,C
f4aaf95700fa9be4,9,Delrue,M,Remi,Remi Delrue,BEL,S9,SB8,56188,SM9,C
bbd11a5ab129a49f,"12, +",Maes,M,Jordy,Jordy Maes,BEL,S8,SB7,56187,SM8,R-2027
7e563e05aca85464,0,Parmentier,M,Aymeric,Aymeric Parmentier,BEL,S14,SB14,17604,SM14,C
f24449b92ba7fc97,T,Somei,M,Thibaut,Thibaut Somei,BEL,S12,SB12,59888,SM12,R-2028
c575f306d10ab7fb,-,Vermaut,F,Celine,Celine Vermaut,BEL,S14,SB14,56228,SM14,R-2025
103bd72432da6a0a,-,Velarde Alarcon,M,Denys Jhoel,Denys Jhoel Velarde Alarcon,BOL,S6,SB5,68702,SM6,N
adea40e31f89d307,"A, E, 7, 12",Barlov,M,Ismail,Ismail Barlov,BIH,S3,SB2,56100,SM3,R-2026
ae14b6ca30e50044,"A, 3, 5, 12, +",Omerbasic,M,Alisan,Alisan Omerbasic,BIH,S9,SB8,65601,SM9,R-2028
02dc7da9bbc67331,"3, 5, 12, +",Puric,F,Selma,Selma Puric,BIH,S6,SB5,63328,SM6,R-2027
e188063629094cad,-,Sabanovic,F,Kanita,Kanita Sabanovic,BIH,S7,SB7,60248,SM7,N
a2f7dd36ed893b25,"A, Y, 7",Zulfic,M,Ismail,Ismail Zulfic,BIH,S5,SB5,56099,SM5,R-2027
3faf812404b6725d,12,Alcalde Rodriguez,M,Roberto,Roberto Alcalde Rodriguez,BRA,S6,SB5,4186,SM6,C
b9fe23738541e160,-,Antonio Rodrigues,M,Luiz Fernando,Luiz Fernando Antonio Rodrigues,BRA,S5,SB4,68606,SM5,N
0e9618d9237e823d,-,Araujo Cafaro,F,Emanuella,Emanuella Araujo Cafaro,BRA,S9,SB8,56762,SM9,N
f50a6a05387bd6c0,"A, E",Araujo de Alme,M,Anderson Felipe,Anderson Felipe Araujo de Alme,BRA,S3,N/A,62739,N/A,R-2029
20f760739dd3e78c,-,Ariodante de Oliveira Souza,F,Stephanie,Stephanie Ariodante de Oliveira Souza,BRA,S14,SB14,32584,SM14,C
0519618225b584df,-,Bandeira,M,Gabriel,Gabriel Bandeira,BRA,S14,SB14,49489,SM14,C
195633a4a8aa372e,"A, 3, 12",Basilio,M,Alan Kleber,Alan Kleber Basilio,BRA,S4,SB4,42964,SM4,R
1cef95f8a49de29a,0,Batista Silva,M,Guilherme,Guilherme Batista Silva,BRA,S13,SB13,18586,SM13,R-2029
f5d5abf3809f29b3,"A, Y, 1, 2, 4, 12",Becker Da Silva,M,Bruno,Bruno Becker Da Silva,BRA,S2,SB1,29315,SM2,C
5b5d0a2a5ca59fea,"T, B",Belarmino Pereira,M,Wendell,Wendell Belarmino Pereira,BRA,S11,SB11,30746,SM11,R-2027
5e517800b77ac901,-,Bento Da Silva Filho,M,Andre Luiz,Andre Luiz Bento Da Silva Filho,BRA,S14,SB14,33309,SM14,C
1982fbabf4c8351a,-,Borges Carneiro,F,Beatriz,Beatriz Borges Carneiro,BRA,S14,SB14,28115,SM14,C
b100496db2ea4394,-,Borges Carneiro,F,Debora,Debora Borges Carneiro,BRA,S14,SB14,28114,SM14,C
38c2f7f514f30bef,T,Braga Da Costa,M,Breno,Breno Braga Da Costa,BRA,S12,SB12,56110,SM12,R-2028
4c07c194cd20fb4e,"1, 3, 5",Brambilla,M,Matheus Junio,Matheus Junio Brambilla,BRA,S7,SB7,59911,SM7,R-2027
a7e2d805ad5a0e17,-,Brutos de Oliveira,M,Joao Pedro,Joao Pedro Brutos de Oliveira,BRA,S14,SB14,50832,SM14,C
